simulation,strategy_return,buy_hold_return,sharpe_ratio,max_drawdown,outperformed
0,-0.0010606095903097357,-0.5759823904332236,0.1475936348612673,-0.5873157071250412,True
1,0.49078884789779686,0.9595124319750612,0.3516528265801308,-0.6225246565686685,False
2,1.7235126971711052,1.4895862314955854,0.6500494304790928,-0.604347339074246,True
3,-0.4872466699535998,-0.4804266506973266,-0.20702470272328086,-0.7756422507975468,False
4,3.267000615557275,11.403625770347906,0.8658391454754296,-0.449549337187545,False
5,0.8435972159707623,0.8832391887270632,0.4573830049904662,-0.4453620261182882,False
6,-0.07690855697383048,1.3813262548443261,0.11490441673066569,-0.5863033388669345,False
7,1.2242753685787684,5.388998068062048,0.5485074607832224,-0.46161573546888823,False
8,-0.8348804384425693,-0.8650701296837071,-0.6824717729880232,-0.9095858494961131,True
9,0.24246081483959214,2.7699629269224983,0.2601873719357733,-0.5877959132498493,False
10,0.9245757293836061,2.745040124741064,0.48130050932194557,-0.6280259153395341,False
11,0.9956034149825355,-0.44322013861649767,0.49661587077393854,-0.4063676987634592,True
12,-0.5551130361233558,1.0682906299154205,-0.2688466746627424,-0.8345698455806323,False
13,2.952816641517258,12.055085613349016,0.8326663588379657,-0.4915202653126674,False
14,0.38708605786736827,0.7647066161435931,0.31383165386451267,-0.6102938308892331,False
15,0.7885262938526032,-0.1835509547094698,0.4406050398955974,-0.44585020892753363,True
16,0.8846907563935544,0.979927511196371,0.47193719149828645,-0.4561676143205094,False
17,1.845196438187036,2.6742473304478245,0.6774763845330803,-0.5763402845243581,False
18,0.025769878741632057,-0.1544055729290309,0.17798738914987208,-0.7701569716777354,True
19,1.5992592511817127,3.0169556851400934,0.6344612973437325,-0.4674583976531036,False
20,-0.024995308527253512,0.671820508648012,0.14494253838002208,-0.8174778551965679,False
21,-0.6138524881360308,1.691828605218339,-0.300126367886788,-0.6567839785584859,False
22,1.9775577913096938,0.38448880824957854,0.6996267434524427,-0.6337332675873328,True
23,5.792042128850027,8.745735378645614,1.1064355548803053,-0.48991895911175926,False
24,0.41266984134197626,1.422566821383969,0.32157912080158024,-0.7486039774954822,False
